X,Y,OBJECTID,address,business_name,business_type,precinct,greenlight_live_date,address_id,parcel_id,longitude,latitude
,,384,20520 Lahser Rd,Royal Liquor,Retail,8,2023/04/28 00:00:00+00,,,,
-83.0379127119111,42.374076261844,385,1881 East Grand Blvd,Mission Point of Elmwood,Services,7,2023/04/21 00:00:00+00,261864,13003559-60,-83.0379127119111,42.374076261844
-83.1111193734033,42.3536517913229,386,1881 East Grand Blvd,Mission Point of Elmwood,Services,7,2023/04/21 00:00:00+00,186276,14008100.,-83.1111193734033,42.3536517913229
-83.1411435378437,42.2923001237395,387,10410 W Fort St,Detroit's House of Hardtops,Retail,4,2023/04/19 00:00:00+00,350611,20001664.,-83.1411435378437,42.2923001237395
-83.1701360344621,42.4092608120465,388,12701 Puritan St,Mark’s A Eagels Coney Island,Services,12,2023/04/18 00:00:00+00,88618,22011928-34,-83.1701360344621,42.4092608120465
-82.9830542976769,42.376109140112,389,3536 Montclair St,3536 Montclair Apts,Residential,5,2023/04/14 00:00:00+00,5391,21040670.,-82.9830542976769,42.376109140112
-83.1387957804463,42.3366116989587,390,5611 Tarnow St,BP,Retail,4,2023/04/10 00:00:00+00,347611,18012544.002L,-83.1387957804463,42.3366116989587
,,391,21427 Grand River Ste 260,Captain Jay's #113,Retail,8,2023/04/06 00:00:00+00,,,,
-83.0651508184181,42.3799552189334,392,7887 Chrysler Dr,Michigan Humane,Services,3,2023/03/24 00:00:00+00,253366,05004227.001,-83.0651508184181,42.3799552189334
-83.1793107592756,42.4168537806238,393,13546 W McNichols,KFC,Retail,12,2023/03/17 00:00:00+00,66757,22014094-105,-83.1793107592756,42.4168537806238
-83.1276544651595,42.4031859798272,394,2600 Fenkell Ave,Fenkell Gospel Temple COGIC,Community,10,2023/03/09 00:00:00+00,539304,12005390.,-83.1276544651595,42.4031859798272
-83.1991831465258,42.402123398968,395,15321 Greenfield Rd.,Captain Jay's #110,Retail,8,2023/03/08 00:00:00+00,537974,22050852-3,-83.1991831465258,42.402123398968
-83.1116083109631,42.2934224881428,396,7800 E Jefferson Ave,River Towers Senior Apartments,Residential,7,2023/03/08 00:00:00+00,531356,18000070.,-83.1116083109631,42.2934224881428
-82.9956336155101,42.3494672208142,397,7800 E Jefferson Ave,River Towers Senior Apartments,Residential,7,2023/03/08 00:00:00+00,242134,17000018.,-82.9956336155101,42.3494672208142
-83.1854936533806,42.4306182155169,398,14201 W Seven Mile Rd,KFC,Retail,12,2023/03/02 00:00:00+00,220203,22016029-37,-83.1854936533806,42.4306182155169
-83.1161271011393,42.3261408552126,399,3278  Livernois,BP,Retail,4,2023/03/01 00:00:00+00,149584,16017111-2,-83.1161271011393,42.3261408552126
-83.0761444138848,42.4468045766384,400,2600 E Eight Mile Rd,KFC,Retail,11,2023/02/24 00:00:00+00,285858,13024499-503,-83.0761444138848,42.4468045766384
-83.2199845289641,42.3435514802977,401,18400 W. Warren Ave,Captain Jay's #104,Retail,6,2023/02/23 00:00:00+00,215425,22000721-3,-83.2199845289641,42.3435514802977
-82.9149628120228,42.4113119532547,402,18400 W. Warren Ave,Captain Jay's #104,Retail,6,2023/02/23 00:00:00+00,535774,21078483.002L,-82.9149628120228,42.4113119532547
-83.1400291467366,42.4060871704529,403,15510 Livernois Ave,Detroit Dental Specialists,Services,12,2023/02/16 00:00:00+00,28563,12013190-2,-83.1400291467366,42.4060871704529
-83.0875868410974,42.3231567572943,404,3553 W Vernor Hwy,St  Anthony's,Community,4,2023/02/15 00:00:00+00,545972,12000282.,-83.0875868410974,42.3231567572943
-83.1704976632064,42.4155530164518,405,16907 Meyers Rd.,Captain Jay's #112,Retail,12,2023/02/14 00:00:00+00,94284,22019042-9,-83.1704976632064,42.4155530164518
-83.1630749708018,42.3590519627123,406,10400 Joy Rd,10400 Joy Road Apartment Building,Residential,2,2023/02/10 00:00:00+00,544598,18005211-4,-83.1630749708018,42.3590519627123
-83.0442456670223,42.4354523637655,407,19225 Mound Rd,"Minyon Properties, LLC",Retail,11,2023/02/10 00:00:00+00,299401,13013133-6,-83.0442456670223,42.4354523637655
-83.2076289162558,42.3437952937273,408,16520 W Warren Ave,Fairline Food Center,Retail,6,2023/02/07 00:00:00+00,215814,22000824-36,-83.2076289162558,42.3437952937273
-83.0883845657545,42.3228961815671,409,3627 W Vernor Hwy,Martin Body Work,Community,4,2023/02/07 00:00:00+00,241478,12000286.,-83.0883845657545,42.3228961815671
-83.1413010921653,42.4182675971963,410,17171 Livernois Ave,Captain Jay's #111,Retail,12,2023/02/02 00:00:00+00,13221,16017737-42,-83.1413010921653,42.4182675971963
-83.1225441799877,42.3932901915528,411,2600 W Davison St,Mobil,Retail,10,2023/02/01 00:00:00+00,30833,10007565-75,-83.1225441799877,42.3932901915528
-82.9640240245563,42.4212499565098,412,15221 Houston Whittier St,Kelly Beauty Supply,Retail,9,2023/01/27 00:00:00+00,351764,21057418-9,-82.9640240245563,42.4212499565098
-83.0537578260104,42.4276981742616,413,4801 E. Nevada St,Sojourner Truth Homes,Residential,11,2023/01/24 00:00:00+00,298087,13007933.002L,-83.0537578260104,42.4276981742616
-82.9746903390331,42.3894126458305,414,12248 E Warren Ave,Captain Jay's #105,Retail,5,2023/01/17 00:00:00+00,350914,21002581-90,-82.9746903390331,42.3894126458305
-83.2233062797107,42.3652048198037,415,9500 Brace St,Mardi Gras Apts,Residential,6,2023/01/17 00:00:00+00,175939,22004245-52,-83.2233062797107,42.3652048198037
-83.1879457180996,42.3726199221875,416,14601 Plymouth Rd,NewLand Party Store,Retail,2,2023/01/12 00:00:00+00,216411,22004981.,-83.1879457180996,42.3726199221875
-83.1145252038387,42.4318938758187,417,19016 Woodward Ave,BP,Retail,12,2023/01/12 00:00:00+00,352694,01009803-7,-83.1145252038387,42.4318938758187
-83.079998486375,42.3743367923859,418,8231 Second Ave,Greater Emmanuel Temple of Deliverance,Community,3,2023/01/09 00:00:00+00,350128,04001864-5,-83.079998486375,42.3743367923859
-83.1089987666676,42.3842588510364,419,2255 Webb St,Russell Woods Apartments,Residential,10,2023/01/09 00:00:00+00,544203,08003410.002L,-83.1089987666676,42.3842588510364
-83.2428011271506,42.3643570637891,420,20639 W. Chicago St,Baton Rogue Apts,Residential,6,2023/01/06 00:00:00+00,173913,22003964-76,-83.2428011271506,42.3643570637891
-82.9395082395423,42.4149340049494,421,16801 Harper Ave,Good Vibes Lounge,Services,5,2022/12/28 00:00:00+00,352149,21004622.,-82.9395082395423,42.4149340049494
-83.1604708948859,42.4387553574156,422,19901 Kentucky St,Christian Gospel Center Church of God In Christ,Community,12,2022/12/23 00:00:00+00,25586,16009176-80,-83.1604708948859,42.4387553574156
-83.2837630503676,42.4265647361294,423,24541 Grand River Ave,Deluxe Inn Motel,Residential,8,2022/12/16 00:00:00+00,130214,22007603-11,-83.2837630503676,42.4265647361294
-82.9790974050339,42.433644497779,424,14205 Gratiot Ave,Captain Jay's #107,Retail,9,2022/12/14 00:00:00+00,256508,21029087-94,-82.9790974050339,42.433644497779
-82.9645797003322,42.40524314068,425,14401 Harper Ave,Captain Jay's #108,Retail,9,2022/12/06 00:00:00+00,232409,21004374.,-82.9645797003322,42.40524314068
-83.0610209884013,42.3451301813663,426,3475 Cass Ave,Heather Hall Apartments Parking,,3,2022/12/02 00:00:00+00,349058,02002243.,-83.0610209884013,42.3451301813663
-82.9976929201359,42.3559649714382,427,1462 Van Dyke St,"Coe Van Dyke, LLC",Residential,7,2022/12/02 00:00:00+00,255706,17009186-0,-82.9976929201359,42.3559649714382
-83.0246603869188,42.4335919922455,428,19041 Van Dyke St,Captain Jay's#106,Retail,11,2022/11/30 00:00:00+00,352702,15005330-1,-83.0246603869188,42.4335919922455
-83.0881890079407,42.4401728449454,429,1535 E State Fair Ave,Family Medical Clinic,Services,11,2021/09/25 00:00:00+00,535525,09008141.001,-83.0881890079407,42.4401728449454
-83.2168360067235,42.3430332820584,430,18141 W Warren Ave,Marathon,Retail,6,2021/09/23 00:00:00+00,214050,22000233-6,-83.2168360067235,42.3430332820584
-83.2169141225112,42.3437252493249,431,18142 W Warren Ave,Marathon,Retail,6,2021/09/22 00:00:00+00,215444,22000739-43,-83.2169141225112,42.3437252493249
-83.0042267867559,42.3530186790723,432,1423 Field St,All Well-Being Services,Services,7,2021/09/21 00:00:00+00,329640,15007476.,-83.0042267867559,42.3530186790723
-82.9750172026594,42.3644658293854,433,11000 E Jefferson Ave,Mr. Corned Beef,Retail,5,2021/09/17 00:00:00+00,350699,21000472-3,-82.9750172026594,42.3644658293854
-82.9727494213192,42.3649710908013,434,11000 E Jefferson Ave,Mr. Corned Beef,Retail,5,2021/09/17 00:00:00+00,535152,21000458-63,-82.9727494213192,42.3649710908013
-83.1162592981455,42.4201357719942,435,951 Whitmore Rd,951 Whitmore,Residential,12,2021/08/30 00:00:00+00,279574,02002588.,-83.1162592981455,42.4201357719942
-83.1159920221459,42.420665515106,436,950 Whitmore Rd,950 Whitmore,Residential,12,2021/08/30 00:00:00+00,275053,02002592.,-83.1159920221459,42.420665515106
-83.2121044271431,42.3431650693162,437,16945 W Warren Ave,Serv-U-Well,Services,6,2021/08/25 00:00:00+00,352207,22000201-5,-83.2121044271431,42.3431650693162
-82.979978574958,42.3768073833931,438,3568 Fairview St,Fairview Manor,Residential,5,2021/08/12 00:00:00+00,5480,21042128.002,-82.979978574958,42.3768073833931
-83.0863251570055,42.3699593723843,439,1310 Pallister St,Lexington Village,Residential,10,2021/08/05 00:00:00+00,58106,06001624-43,-83.0863251570055,42.3699593723843
-83.0806169382661,42.3732395753304,440,675 Seward St,Seward Apartments,Residential,3,2021/08/04 00:00:00+00,340681,04001821.,-83.0806169382661,42.3732395753304
-83.0257441372219,42.3398148402621,441,595 Chene St,Martin Luther King I and II,Residential,7,2021/07/30 00:00:00+00,248023,09000341-72,-83.0257441372219,42.3398148402621
-83.1140592451636,42.419457014963,442,825 Whitmore Rd,825 Whitmore,Residential,12,2021/07/27 00:00:00+00,279164,02002583-4,-83.1140592451636,42.419457014963
-83.1174182515642,42.4207413730964,443,1000 Whitmore Rd,1000 Whitmore,Residential,12,2021/07/23 00:00:00+00,279657,02002715.,-83.1174182515642,42.4207413730964
-83.114549183827,42.4201493028597,444,850 Whitmore Rd,850 Whitmore,Residential,12,2021/07/23 00:00:00+00,275160,02002594-6,-83.114549183827,42.4201493028597
-83.05430443454,42.4185986484713,445,4900 E McNichols,The Lawn Academy,Services,11,2021/07/09 00:00:00+00,349364,13007584-90,-83.05430443454,42.4185986484713
-83.1845745646532,42.3622174411505,446,9201 Freeland St,What'sApp Auto Parts,Retail,2,2021/06/30 00:00:00+00,540623,22036456-7,-83.1845745646532,42.3622174411505
-83.2152479193888,42.3437567842715,447,17720 W Warren Ave,Shell,Retail,6,2021/06/28 00:00:00+00,215446,22000744-51,-83.2152479193888,42.3437567842715
-83.0139896547177,42.4344218086596,448,11001 E 7 Mile Rd,Mobil,Retail,9,2021/06/23 00:00:00+00,255014,17005110-7,-83.0139896547177,42.4344218086596
-82.9939068454141,42.3526255908242,449,8109 E Jefferson Ave,West Village Garden,Services,7,2021/06/18 00:00:00+00,347552,17000055.,-82.9939068454141,42.3526255908242
-83.0476599995387,42.3352107209755,450,1401 Broadway St,The Boll Family YMCA,Community,3,2021/06/18 00:00:00+00,543677,01004025-30L,-83.0476599995387,42.3352107209755
-83.1183662047796,42.4221575581281,451,17725 Manderson Rd,17725 Manderson,Residential,12,2021/06/14 00:00:00+00,277489,02002709.,-83.1183662047796,42.4221575581281
-83.1475432254104,42.3725549408221,452,10560 Grand River Ave,Detroit Tire,Retail,2,2021/06/10 00:00:00+00,222046,16005133-9,-83.1475432254104,42.3725549408221
-83.1153093741454,42.4204008775784,453,900 Whitmore Rd,900 Whitmore,Residential,12,2021/06/09 00:00:00+00,275104,02002593.,-83.1153093741454,42.4204008775784
-83.111628368721,42.4200427060872,454,681 Covington Rd,641 Covington,Residential,12,2021/06/07 00:00:00+00,544946,02002616-26,-83.111628368721,42.4200427060872
-83.111628368721,42.4200427060872,455,661 Covington Rd,641 Covington,Residential,12,2021/06/07 00:00:00+00,276322,02002616-26,-83.111628368721,42.4200427060872
-83.111628368721,42.4200427060872,456,711 Covington Rd,641 Covington,Residential,12,2021/06/07 00:00:00+00,544846,02002616-26,-83.111628368721,42.4200427060872
-83.111628368721,42.4200427060872,457,671 Covington Rd,641 Covington,Residential,12,2021/06/07 00:00:00+00,276327,02002616-26,-83.111628368721,42.4200427060872
-83.111628368721,42.4200427060872,458,701 Covington Rd,641 Covington,Residential,12,2021/06/07 00:00:00+00,276345,02002616-26,-83.111628368721,42.4200427060872
-83.1165448487875,42.4209156610021,459,980 Whitmore Rd,980 Whitmore,Residential,12,2021/05/19 00:00:00+00,277620,02002590-1,-83.1165448487875,42.4209156610021
-83.111628368721,42.4200427060872,460,641 Covington Rd,641 Covington,Residential,12,2021/05/07 00:00:00+00,543683,02002616-26,-83.111628368721,42.4200427060872
-83.2536987020538,42.4288623820854,461,21401 W 7 Mile Rd,Chapel Court Apartments,Residential,8,2021/05/06 00:00:00+00,99029,22016636-41,-83.2536987020538,42.4288623820854
